,,Data ID,022_P2_A11_heart_18C36_PWD_lean_0.mzXML,098_P2_C01_heart_18C37_PWD_lean_0.mzXML,020_P2_A10_heart_18C41_PWD_lean_0.mzXML,106_P2_C05_heart_18C42_PWD_lean_0.mzXML,116_P2_C10_heart_NPC1_PWD_lean_0.mzXML,062_P2_B07_heart_NPC2_PWD_lean_0.mzXML,120_P2_C12_heart_NPC3_PWD_lean_0.mzXML,056_P2_B04_heart_RC59_PWD_lean_0.mzXML,264_P2_F12_heart_18F50_PWD_obese_0.mzXML,244_P2_F02_heart_18F52_PWD_obese_0.mzXML,292_P2_G02_heart_18F54_PWD_obese_0.mzXML,168_P2_D12_heart_18F57_PWD_obese_0.mzXML,154_P2_D05_heart_NPF1_PWD_obese_0.mzXML,200_P2_E04_heart_NPF2_PWD_obese_0.mzXML,210_P2_E09_heart_NPF4_PWD_obese_0.mzXML,150_P2_D03_heart_NPF5_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F57,NPF1,NPF2,NPF4,NPF5
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
,,Address,A11,C01,A10,C05,C10,B07,C12,B04,F12,F02,G02,D12,D05,E04,E09,D03
Lipid variable,Category,m/z,18C36,18C37,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F57,NPF1,NPF2,NPF4,NPF5
PCXXX(33:2)_[M+OAC]1- ,PC,802.5604,0,0,0,27.388,0,0,0,0,0,0,0,6.086,0,0,21.551,0
PCXXX(33:3)_[M+OAC]1- ,PC,800.5447,0,0,0,0.093,0,0,0,4.376,0,0,0.534,5.659,5.407,3.072,0,3.492
PCXXX(33:4)_[M+OAC]1- ,PC,798.5291,0,2.085,2.208,0.46,0,0,0,1.656,0,0,0.813,0,3.834,0,0.667,2.261
PCXXX(34:0)_[M+OAC]1-,PC,820.6073,0,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(34:1)_[M+Cl]1-,PC,794.5472,1.936,0,0,21.367,0,1.677,0,4.648,1.227,0,0,0,0,0,1.603,0
PCXXX(34:1)_[M+OAC]1- ,PC,818.5917,0,1.666,0,2.444,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(34:2)_[M+Cl]1-,PC,792.5316,0,0,0,12.394,0,0,0,0,0,0,0,0,0.986,0,5.009,0
PCXXX(34:2)_[M+OAC]1- ,PC,816.576,2.02,0,0,4.375,0,0,2.672,0,1.285,0,0,0,0,0,0.387,0
PCXXX(34:3)_[M+OAC]1- ,PC,814.5604,0,5.079,2.763,0,6.729,3.368,2.421,1.975,0,0,1.319,4.059,0,10.303,0.168,0
PCXXX(34:5)_[M+OAC]1- ,PC,810.5291,3.367,0,0,5.116,0,1.358,0,0,0,1.317,0,3.085,1.159,0,0.669,0
PCXXX(34:6)_[M+OAC]1- ,PC,808.5134,0,0,0.773,0,1.745,1.561,0,4.65,0,0,0,0,1.561,2.748,0,1.395
PCXXX(35:2)_[M+OAC]1- ,PC,830.5917,0,0,0,13.521,0,0.24,0,0,1.155,0,0,0,2.452,0,12.538,0
PCXXX(35:3)_[M+OAC]1- ,PC,828.576,4.662,0,0.652,2.389,0,0,1.757,0,1.659,1.726,1.17,6.97,0,0,3.803,1.524
PCXXX(35:4)_[M+OAC]1- ,PC,826.5604,1.99,0,0.542,10.904,0,0,0,0,0,0,1.022,0,0,0,4.118,0
PCXXX(35:5)_[M+Cl]1-,PC,800.5003,1.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(35:5)_[M+OAC]1- ,PC,824.5447,0.858,0,0,0,0,1.351,0,0,0,0,0,0,0,0,0,0
PCXXX(36:0)_[M+OAC]1-,PC,848.6386,0,0,0,0.261,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(36:2)_[M+Cl]1-,PC,820.5629,0,0,0,1.046,0,0,0,0,0,1.889,0,0,0,0,0.472,0
PCXXX(36:2)_[M+OAC]1- ,PC,844.6073,0,1.548,0,0,0,0,1.588,0,2.165,1.556,0,0,0,0,0,0
PCXXX(36:3)_[M+Cl]1-,PC,818.5472,0,0,0,1.387,0,0,0,1.175,0,0,1.029,0,0,0,0.562,0
PCXXX(36:3)_[M+OAC]1- ,PC,842.5917,0,1.389,1.185,0.158,5.01,1.722,0,1.374,0.636,0,2.887,0,2.171,9.299,0.174,2.566
PCXXX(36:4)_[M+Cl]1-,PC,816.5316,0,0,0,2.787,0,0,0,1.446,0,0,0,0,0,0,0.426,0
PCXXX(36:4)_[M+OAC]1- ,PC,840.576,0,1.035,0,0.021,0,1.748,0,0,0,0,0,0,0,0,0,0
PCXXX(36:6)_[M+OAC]1- ,PC,836.5447,0,1.78,1.24,4.244,1.664,1.061,0,2.459,0,1.781,0,3.105,0,2.346,0.283,0
PCXXX(36:7)_[M+OAC]1- ,PC,834.5291,0,0,0,73.029,0,0.604,0,25.966,65.517,2.203,0,0,0,0,8.992,0
