,,Data ID,046_P4_A11_Adipose_18C36_PWD_lean_PW_0.mzXML,134_P4_C07_Adipose_18C37_PWD_lean_PW_0.mzXML,132_P4_C06_Adipose_18C40_PWD_lean_PW_0.mzXML,282_P4_F09_Adipose_18C41_PWD_lean_PW_0.mzXML,044_P4_A10_Adipose_18C42_PWD_lean_PW_0.mzXML,028_P4_A02_Adipose_NPC1_PWD_lean_PW_0.mzXML,266_P4_F01_Adipose_NPC2_PWD_lean_PW_0.mzXML,192_P4_D12_Adipose_NPC3_PWD_lean_PW_0.mzXML,370_P4_H05_Adipose_18F52_PWD_obese_PW_0.mzXML,088_P4_B08_Adipose_18F54_PWD_obese_PW_0.mzXML,228_P4_E06_Adipose_18F55_PWD_obese_PW_0.mzXML,122_P4_C01_Adipose_18F57_PWD_obese_PW_0.mzXML,322_P4_G05_Adipose_NPF1_PWD_obese_PW_0.mzXML,380_P4_H10_Adipose_NPF2_PWD_obese_PW_0.mzXML,232_P4_E08_Adipose_NPF4_PWD_obese_PW_0.mzXML,140_P4_C10_Adipose_NPF5_PWD_obese_PW_0.mzXML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Compartment,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Handling,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96wPL No.,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Address,A11,C07,C06,F09,A10,A02,F01,D12,H05,B08,E06,C01,G05,H10,E08,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:3)_[M+OAC]1- ,PC,800.5447,0.614,0.000,0.422,0.630,0.188,0.000,0.243,0.133,0.424,1.410,0.139,0.287,0.528,0.000,0.515,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:4)_[M+OAC]1- ,PC,798.5291,0.000,0.000,0.000,5.008,0.898,0.000,0.991,0.316,0.000,0.000,0.204,0.249,0.000,0.000,0.216,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:0)_[M+OAC]1-,PC,820.6073,0.000,0.000,0.000,0.000,0.000,0.402,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.208,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:1)_[M+Cl]1-,PC,794.5472,24.229,20.219,11.575,1.082,11.628,22.465,1.915,30.582,3.162,0.000,6.595,11.734,2.240,3.712,12.754,24.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:1)_[M+OAC]1- ,PC,818.5917,0.937,0.000,0.000,0.880,0.913,0.000,0.529,1.390,0.000,0.000,3.921,0.367,0.000,0.000,0.521,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:2)_[M+Cl]1-,PC,792.5316,23.311,13.991,12.499,2.307,14.184,24.575,2.368,9.291,3.540,0.000,5.203,10.355,1.570,3.007,13.208,16.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:2)_[M+OAC]1- ,PC,816.576,0.799,0.000,0.000,0.000,1.046,0.481,0.602,2.196,0.367,0.000,3.833,1.102,0.896,0.000,0.201,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:3)_[M+OAC]1- ,PC,814.5604,0.261,0.242,0.336,1.368,0.139,0.000,0.000,0.411,0.859,0.000,0.060,0.963,0.429,0.000,0.861,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:5)_[M+OAC]1- ,PC,810.5291,24.949,43.097,31.456,34.402,5.412,17.302,21.379,4.522,44.823,0.000,0.617,49.706,66.763,55.807,61.312,46.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:6)_[M+OAC]1- ,PC,808.5134,0.185,0.354,0.000,0.506,0.006,0.000,0.000,0.000,0.000,0.000,3.154,2.290,0.544,0.867,2.512,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
