LPCXX(24:0)_[M+OAC]1-,LPC,666.4715,10.980,4.895,12.945,5.309,0.000,6.049,28.577,13.296,,0.653,0.435,1.302,0.000,6.548,2.999,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC-O(19:1)_[M+Cl]1-,LPC,554.3383,5.119,9.073,14.315,5.863,1.202,4.639,20.122,19.952,,1.097,3.198,3.643,31.777,5.625,4.851,1.970,0.967,7.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(13:0)_[M-H]1-,LPE,410.2313,24.353,27.552,19.682,11.145,3.944,6.424,18.657,121.859,,5.959,140.899,15.343,84.553,11.198,11.331,111.859,85.530,12.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(16:0)_[M-H]1-,LPE,452.2783,3.249,9.030,1.976,2.830,1.751,3.867,3.640,6.155,,2.265,1.905,0.000,9.758,1.259,5.099,7.577,28.085,7.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(18:0)_[M-H]1-,LPE,480.3096,3.381,62.535,3.886,1.938,26.137,165.149,6.655,25.187,,12.464,166.094,1.605,26.148,0.664,5.385,97.855,98.711,3.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(18:1)_[M-H]1-,LPE,478.2939,1.264,3.719,2.856,1.604,3.226,2.773,2.594,5.636,,37.170,1.827,0.460,11.637,1.290,2.662,7.911,10.204,5.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(20:0)_[M-H]1-,LPE,508.3409,3.082,6.581,5.643,1.662,10.603,112.632,1.499,5.056,,1.148,77.025,3.400,16.480,6.998,9.803,37.611,9.405,2.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(20:1)_[M-H]1-,LPE,506.3252,1.742,2.300,2.134,1.632,0.000,37.268,3.337,2.891,,1.181,21.466,3.057,20.439,2.450,2.296,21.618,0.891,5.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(22:6)_[M-H]1-,LPE,524.2783,42.853,15.944,26.760,16.966,12.348,8.383,21.877,13.223,,50.318,53.278,21.522,159.298,15.765,12.483,11.312,18.707,123.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(34:0)_[M-H]1-,PA,675.496483,6.986,0.000,9.440,3.132,1.492,1.277,13.037,4.478,,1.639,29.659,0.994,0.000,0.000,2.442,20.502,15.502,13.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(36:0)_[M-H]1-,PA,703.527783,19.106,7.215,41.065,4.664,5.678,3.653,56.222,14.865,,3.476,0.816,3.296,6.522,5.076,1.632,2.211,2.310,6.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(36:1)_[M-H]1-,PA,701.512133,2.077,0.000,3.608,0.000,0.000,0.000,11.343,0.000,,0.000,0.534,0.426,4.070,0.573,0.000,10.879,23.948,2.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(40:7)_[M-H]1-,PA,745.480833,0.000,0.000,1.982,0.000,2.439,0.414,3.912,1.756,,0.000,0.085,0.000,0.000,0.000,0.000,0.559,5.115,3.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(28:2)_[M+OAC]1- ,PC,732.4821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.425,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(31:1)_[M+OAC]1- ,PC,776.5447,0.000,0.000,0.000,0.623,1.813,0.000,0.000,0.000,,0.412,0.000,1.128,0.000,0.000,3.288,2.193,3.664,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(32:3)_[M+OAC]1- ,PC,786.5291,1.407,59.512,4.046,4.923,27.120,3.570,1.103,8.223,,3.383,0.000,1.452,0.000,0.000,0.893,5.374,13.220,2.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:1)_[M+OAC]1- ,PC,804.576,1.517,0.000,6.076,1.258,0.000,10.219,8.435,20.054,,13.943,36.042,2.527,0.000,3.656,0.000,43.699,43.337,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:2)_[M+OAC]1- ,PC,802.5604,0.000,0.000,0.000,0.000,0.000,40.866,0.000,0.000,,0.760,45.838,0.545,0.000,0.000,0.000,30.779,5.863,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:3)_[M+OAC]1- ,PC,800.5447,0.000,0.000,2.129,2.949,1.368,0.000,0.000,3.975,,0.668,0.447,1.572,4.843,2.283,2.427,0.077,0.135,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(33:4)_[M+OAC]1- ,PC,798.5291,1.638,0.000,0.000,0.869,0.000,0.393,0.000,0.000,,0.000,0.882,2.964,0.000,3.339,2.786,0.159,0.000,1.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:0)_[M+OAC]1-,PC,820.6073,0.000,0.000,0.000,0.679,0.000,0.000,0.000,1.003,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:1)_[M+Cl]1-,PC,794.5472,0.000,0.000,0.000,0.649,0.000,0.000,1.043,0.000,,1.206,5.588,0.000,0.000,0.000,0.000,14.997,9.994,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:1)_[M+OAC]1- ,PC,818.5917,0.000,0.000,0.000,0.000,0.000,0.222,0.000,0.000,,0.000,0.000,0.000,0.000,0.332,0.000,1.797,1.577,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:2)_[M+Cl]1-,PC,792.5316,0.000,0.000,0.000,0.000,0.000,9.138,0.000,0.000,,0.000,15.637,0.000,0.000,0.513,0.000,12.247,5.502,1.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:2)_[M+OAC]1- ,PC,816.576,0.000,0.000,2.476,0.609,0.000,0.000,0.000,0.000,,0.000,0.985,0.000,0.000,0.000,0.298,4.945,1.202,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:3)_[M+OAC]1- ,PC,814.5604,5.100,0.000,0.000,1.116,0.000,0.667,7.027,3.691,,2.347,0.000,1.423,0.000,0.000,1.532,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:5)_[M+OAC]1- ,PC,810.5291,0.000,2.669,1.469,0.752,0.000,0.342,0.000,0.000,,0.912,0.367,0.000,3.997,0.000,0.000,1.357,2.075,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXXX(34:6)_[M+OAC]1- ,PC,808.5134,0.000,5.078,2.901,0.000,4.521,0.454,0.000,0.000,,0.333,0.000,0.000,0.000,0.958,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
